               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.033773,            0.026994,            0.012885,             0.48528,             0.52989,             0.48287,             0.30266,             0.03457,            0.014238,             0.01567,            0.008812,            0.008812,            0.008812
                  38,            0.034142,            0.027539,            0.012865,             0.50458,             0.53856,               0.488,             0.30527,            0.034166,            0.014263,            0.015011,            0.008779,            0.008779,            0.008779
                  39,             0.03371,            0.027162,             0.01277,             0.51549,             0.53376,             0.49249,             0.30922,            0.034114,            0.014353,            0.015214,            0.008746,            0.008746,            0.008746
                  40,            0.033118,             0.02765,            0.012194,             0.52965,             0.53423,             0.49872,             0.31532,             0.03422,            0.014408,            0.016214,            0.008713,            0.008713,            0.008713
                  41,            0.032615,            0.026998,            0.012004,             0.55765,             0.53293,             0.51422,              0.3252,            0.033709,            0.014298,            0.014864,             0.00868,             0.00868,             0.00868
                  42,            0.032903,            0.026598,            0.011749,             0.53802,             0.55979,             0.52433,             0.33613,            0.033854,            0.014361,            0.014184,            0.008647,            0.008647,            0.008647
                  43,            0.032937,             0.02643,            0.011267,             0.53053,             0.54312,             0.51364,             0.32734,            0.032926,            0.014178,            0.014728,            0.008614,            0.008614,            0.008614
                  44,            0.032594,              0.0265,            0.011324,             0.50563,             0.54523,             0.50176,             0.32203,            0.033529,            0.014353,            0.014511,            0.008581,            0.008581,            0.008581
                  45,            0.032116,            0.026365,            0.011109,             0.53552,              0.5472,             0.51635,             0.33194,            0.033726,            0.014315,            0.014714,            0.008548,            0.008548,            0.008548
                  46,            0.031801,            0.026208,             0.01103,             0.52762,             0.56102,             0.51461,              0.3334,            0.032908,            0.014265,            0.014712,            0.008515,            0.008515,            0.008515
                  47,            0.031486,            0.026243,            0.011154,             0.54136,             0.55065,             0.52662,             0.33955,            0.033498,            0.014195,             0.01396,            0.008482,            0.008482,            0.008482
                  48,            0.031567,            0.026516,            0.011726,             0.55064,             0.56222,             0.53333,             0.34247,            0.033486,            0.014259,            0.013459,            0.008449,            0.008449,            0.008449
