               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.017339,            0.015646,           0.0057287,             0.94992,              0.1557,             0.16149,             0.12733,            0.014939,           0.0083358,           0.0067237,             0.00307,             0.00307,             0.00307
                  37,            0.017062,            0.015285,           0.0055143,             0.95015,              0.1584,             0.16426,              0.1285,            0.014548,           0.0083035,           0.0065799,            0.002872,            0.002872,            0.002872
                  38,            0.016693,            0.015312,           0.0052931,             0.94823,             0.15823,             0.16439,             0.12706,             0.01456,           0.0082627,           0.0069365,            0.002674,            0.002674,            0.002674
                  39,            0.016604,            0.015288,           0.0053341,             0.94797,             0.15818,             0.16016,              0.1267,            0.014155,            0.008073,           0.0070096,            0.002476,            0.002476,            0.002476
                  40,            0.016203,            0.015138,           0.0054597,             0.95575,             0.15542,             0.16317,             0.12871,            0.014158,           0.0082198,           0.0066494,            0.002278,            0.002278,            0.002278
                  41,            0.015815,            0.014752,           0.0049897,             0.95038,             0.15677,             0.16336,             0.12925,            0.013986,           0.0082058,           0.0067367,             0.00208,             0.00208,             0.00208
                  42,            0.015334,            0.014559,           0.0048695,             0.94903,             0.16256,             0.16254,             0.12868,            0.013977,           0.0082408,            0.006424,            0.001882,            0.001882,            0.001882
                  43,             0.01519,            0.014401,           0.0046942,             0.95298,             0.15458,             0.16371,             0.12884,            0.013748,           0.0081151,           0.0066793,            0.001684,            0.001684,            0.001684
                  44,            0.014753,            0.014142,           0.0045327,              0.9436,             0.16264,             0.16437,              0.1283,            0.013786,           0.0080924,           0.0067303,            0.001486,            0.001486,            0.001486
                  45,            0.014468,            0.014281,           0.0046741,              0.9445,             0.16183,              0.1639,             0.12889,             0.01352,           0.0080068,           0.0068411,            0.001288,            0.001288,            0.001288
                  46,            0.014175,            0.014124,           0.0045915,             0.95719,             0.15585,             0.16613,             0.13143,            0.013537,           0.0080171,           0.0066142,             0.00109,             0.00109,             0.00109
                  47,            0.013691,            0.013874,           0.0040841,              0.9522,             0.16014,             0.16673,             0.13236,            0.013343,           0.0080021,           0.0067184,            0.000892,            0.000892,            0.000892
                  48,            0.013481,            0.013906,            0.004359,             0.95837,             0.15381,             0.16672,             0.13233,            0.013383,           0.0080212,           0.0067027,            0.000694,            0.000694,            0.000694
                  49,            0.012921,            0.013499,           0.0036888,              0.9544,             0.15832,             0.16615,             0.13142,            0.013333,           0.0080857,           0.0067219,            0.000496,            0.000496,            0.000496
